Mass (g),Luminosity (erg/s),Pressure (dyn/cm^2),Radius (cm),Temperature (K),Energy Generation Rate (erg/g/s),Opacity (cm^2/g),Adiabatic Gradient,Radiative Gradient,Convective or Radiative
9.550783783783784e+32,4.81031794541558e+33,2.3397778401019428e+16,16038025069.857412,7532025.9148464985,0.26639934348561184,0.5502008817400441,0.39958461710136317,0.079425381384765,RAD
9.559743243243244e+32,4.810555995997547e+33,2.3329156790957724e+16,16050063560.456911,7527923.374707861,0.26501764056327876,0.5504384417408983,0.39958430287154534,0.07932899309259658,RAD
9.568702702702704e+32,4.810792811407287e+33,2.3260676694032016e+16,16062112808.064362,7523821.355484704,0.2636420209875546,0.5506761346368637,0.39958398771654924,0.07923264388158768,RAD
9.577662162162162e+32,4.811028397112993e+33,2.3192337907026276e+16,16074172848.091627,7519719.849847575,0.26227246139287946,0.5509139572289422,0.3995836716341146,0.07913633328562839,RAD
9.586621621621622e+32,4.811262758561397e+33,2.312414022708474e+16,16086243716.041555,7515618.850513946,0.2609089385064822,0.5511519062907461,0.3995833546219597,0.07904006083564356,RAD
9.595581081081082e+32,4.811495901177766e+33,2.3056083451711972e+16,16098325447.507969,7511518.350248221,0.25955142914791135,0.5513899785683342,0.39958303667778206,0.07894382605960237,RAD
9.604540540540542e+32,4.811727830365908e+33,2.2988167378772816e+16,16110418078.17568,7507418.341861729,0.25819991022855565,0.5516281707800779,0.3995827177992587,0.07884762848253231,RAD
9.6135e+32,4.811958551508167e+33,2.2920391806492428e+16,16122521643.82047,7503318.818212725,0.25685435875118584,0.5518664796164817,0.39958239798404604,0.07875146762652696,RAD
9.62245945945946e+32,4.8121880699654246e+33,2.285275653345621e+16,16134636180.309118,7499219.772206397,0.2555147518094813,0.5521049017400529,0.3995820772297792,0.07865534301076073,RAD
9.63141891891892e+32,4.8124163910771015e+33,2.2785261358609904e+16,16146761723.599373,7495121.1967948545,0.25418106658757206,0.5523434337851246,0.3995817555340718,0.07855925415149782,RAD
9.640378378378378e+32,4.812643520161155e+33,2.2717906081259544e+16,16158898309.739962,7491023.084977142,0.2528532803595767,0.5525820723577151,0.39958143289451714,0.07846320056210553,RAD
9.649337837837838e+32,4.8128694625140817e+33,2.2650690501071416e+16,16171045974.870607,7486925.429799223,0.2515313704891468,0.5528208140353541,0.39958110930868634,0.07836718175306388,RAD
9.658297297297298e+32,4.8130942234109136e+33,2.258361441807214e+16,16183204755.222,7482828.224353997,0.2502153144290101,0.5530596553669422,0.39958078477412984,0.0782711972319797,RAD
